,Title,Year,IMDb_Rating,Keywords
0,Les évadés,1994,9.3,"['wrongful imprisonment', 'escape from prison', 'based on the works of stephen king', 'prison', 'voice over narration']"
1,Le parrain,1972,9.2,"['mafia', 'crime family', 'patriarch', 'organized crime', 'rise to power']"
2,"Le parrain, 2ème partie",1974,9.0,"['revenge', 'corrupt politician', 'bloody body of child', 'mafia', '1950s']"
3,The Dark Knight: Le chevalier noir,2008,9.0,"['dc comics', 'joker', 'psychopath', 'clown', 'criminal mastermind']"
4,Douze hommes en colère,1957,8.9,"['jury', 'dialogue driven', 'courtroom', 'single set production', 'trial']"
5,La liste de Schindler,1993,8.9,"['accountant', 'champagne', 'villa', 'womanizer', 'soap']"
6,Le seigneur des anneaux: Le retour du roi,2003,8.9,"['orc', 'epic', 'battle', 'journey', 'hobbit']"
7,Pulp Fiction,1994,8.9,"['nonlinear timeline', 'overdose', 'drug overdose', 'black comedy', 'bondage']"
8,"Le bon, la brute et le truand",1966,8.8,"['spaghetti western', 'new mexico territory', 'sonora mexico', 'arizona desert', 'arizona']"
9,Le seigneur des anneaux: La communauté de l'anneau,2001,8.8,"['ring', 'quest', 'hobbit', 'elf', 'orc']"
10,Fight Club,1999,8.8,"['surprise ending', 'fighting', 'multiple personality disorder', 'insomnia', 'anti establishment']"
11,Forrest Gump,1994,8.8,"['vietnam war', 'amputee', 'war hero', 'vietnam', 'mother']"
12,Inception,2010,8.8,"['dream', 'subconscious', 'ambiguous ending', 'thief', 'psycho thriller']"
13,L'empire contre-attaque,1980,8.7,"['famous twist', 'rescue', 'part of trilogy', 'duel', 'cave']"
14,Le seigneur des anneaux: Les deux tours,2002,8.7,"['middle earth', 'epic', 'wizard', 'evil wizard', 'mission']"
15,Matrix,1999,8.7,"['simulated reality', 'artificial reality', 'war with machines', 'computer hacker', 'post apocalypse']"
16,Les affranchis,1990,8.7,"['gangster', 'organized crime', 'sadistic psychopath', 'mafia', 'rise and fall']"
17,Vol au-dessus d'un nid de coucou,1975,8.7,"['mental institution', 'mental illness', 'nurse', 'escape', 'tragicomedy']"
18,Les sept samouraïs,1954,8.6,"['samurai', '16th century', 'battle', 'japan', 'epic']"
19,Seven,1995,8.6,"['serial killer', 'seven deadly sins', 'serial murder', 'human monster', 'psychological torture']"
20,La Cité de Dieu,2002,8.6,"['photographer', 'slum', 'gang', 'brazil', 'favela']"
21,La vie est belle,1997,8.6,"['jewish', 'schoolteacher', 'world war two', 'nazi occupation', 'tank']"
22,Le silence des agneaux,1991,8.6,"['serial killer', 'psycho thriller', 'cult film', 'bad guy wins', 'stuck in a well']"
23,La vie est belle,1946,8.6,"['guardian angel', 'christmas', 'small town life', 'alternate history', 'second chance']"
24,La guerre des étoiles,1977,8.6,"['rebellion', 'galactic war', 'space opera', 'princess', 'droid']"
25,Joker,2019,8.6,"['mental illness', 'evil clown', 'based on comic', 'nihilism', 'stand up comedian']"
26,Il faut sauver le soldat Ryan,1998,8.6,"['rescue mission', 'd day', 'world war two', 'normandy', 'army']"
27,Le voyage de Chihiro,2001,8.6,"['spirit', 'bathhouse', 'anime', 'spirit world', 'studio ghibli']"
28,Parasite,2019,8.6,"['poverty', 'garden', 'smell', 'one word title', 'cell phone']"
29,La ligne verte,1999,8.6,"['death row inmate', 'good versus evil', 'prison guard', '1930s', 'murder']"
30,Interstellar,2014,8.6,"['astronaut', 'saving the world', 'relativity', 'wormhole', 'gravity']"
31,Léon,1994,8.5,"['older man young girl relationship', 'girl', 'hitman', 'teenage girl', 'sexual desire']"
32,Harakiri,1962,8.7,"['samurai', 'one against many', 'year 1630', 'katana', 'ronin']"
33,Usual Suspects,1995,8.5,"['criminal', 'suspect', 'criminal mastermind', 'flashback', 'mind game']"
34,The Lion King,1994,8.5,"['africa', 'king', 'lion', 'unnecessary guilt', 'scar']"
35,American History X,1998,8.5,"['neo nazi', 'prison', 'jail', 'hatred', 'tearjerker']"
36,Retour vers le futur,1985,8.5,"['time travel', 'delorean', 'time machine', 'future', 'time travel comedy']"
37,Terminator 2 - Le jugement dernier,1991,8.5,"['time travel', 'liquid metal', 'future', 'sequel', 'war with machines']"
38,Le pianiste,2002,8.5,"['pianist', 'holocaust', 'jewish', 'survival', 'poland']"
39,Les temps modernes,1936,8.5,"['jail', 'actor director writer', 'music score composed by director', 'factory', 'satire']"
40,Psychose,1960,8.5,"['motel', 'shower', 'money', 'maniac', 'theft']"
41,Gladiator,2000,8.5,"['gladiator', 'roman empire', 'slavery', 'combat', 'battlefield']"
42,Les lumières de la ville,1931,8.5,"['the little tramp character', 'slapstick comedy', 'mustache', 'moustached man', 'moustache']"
43,Intouchables,2011,8.5,"['class differences', 'caregiver', 'black white friendship', 'disabled person', 'rich poor']"
44,Les infiltrés,2006,8.5,"['police', 'mobster', 'irish mafia', 'organized crime', 'violence']"
45,Whiplash,2014,8.5,"['drummer', 'music school', 'new york city', 'conservatory', 'drum solo']"
46,Il était une fois dans l'Ouest,1968,8.5,"['harmonica', 'woman in bathtub', 'widow', 'former prostitute', 'railway station']"
47,Le prestige,2006,8.5,"['rivalry', 'illusion', 'obsession', 'magician', 'secret']"
48,Casablanca,1942,8.5,"['nazi', 'anti nazi', 'casablanca morocco', 'french morocco', '1940s']"
49,Le tombeau des lucioles,1988,8.5,"['older brother younger sister', 'homelessness', 'orphan', 'shelter', 'food']"
